time,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1956-07-01,7.1073384,4.416414,6.2850604,7.002174,5.895833,5.1122246,4.1732683,6.8900614,6.052242,5.4606137,5.4265256,4.5795403
1956-08-01,5.8722477,4.59441,5.974538,7.026067,4.7258935,4.4256845,5.8999124,7.9683676,6.0627923,5.9022517,6.037195,4.879899
1956-09-01,6.3050327,4.4812694,5.378761,7.52469,4.692441,4.4440756,5.3500843,12.768409,4.3245115,4.829657,5.983524,3.9277189
1956-10-01,7.3576117,3.633049,2.9944632,5.6921687,4.575518,5.663656,5.1480455,15.415057,3.2435474,3.0620728,5.2472057,3.384846
1956-11-01,7.7283826,5.2099752,3.2263005,6.447516,3.9167883,4.200807,5.1313252,17.861122,3.0331175,2.5996816,4.2285695,3.1462126
1956-12-01,4.718132,4.7205687,2.9789102,4.0943575,3.0523672,2.5927556,7.449789,20.327778,2.9038608,2.51563,3.6045566,2.9513981
1957-01-01,6.2267632,3.491523,2.3225718,4.516805,1.9786547,2.1110408,4.4461203,9.068445,2.8554287,2.4884245,2.8275409,1.6208738
1957-02-01,6.528429,3.2397013,2.288871,3.820272,2.3741546,2.5037637,5.112685,14.056033,2.5271354,2.0134547,3.3163793,2.3709078
1957-03-01,7.1975503,2.3644657,3.9173813,5.032556,4.3203745,3.9565294,3.6673877,9.147219,1.735313,2.4351513,4.1723495,2.3254986
1957-04-01,7.3894963,2.8557224,4.183653,5.8471036,4.607817,4.076589,3.5464368,7.7593026,2.329516,2.5548902,3.535605,2.8342915
1957-05-01,5.9312506,3.6154087,4.187384,5.5144625,5.894915,4.595127,4.8123894,7.596683,3.238501,3.1024058,4.3904696,3.2960846
1957-06-01,6.3442936,4.7426367,4.7732167,9.024668,6.2185984,7.209411,5.3771305,8.901141,4.817387,4.5924897,7.879406,3.4690504
1957-07-01,6.217264,4.82214,5.5492477,6.8050694,6.346385,6.3457546,4.854643,7.8004746,5.242799,6.1723533,5.9328904,5.3758483
1957-08-01,6.768977,4.4219747,6.2959456,5.8383512,5.9400606,6.776296,5.1385007,7.055871,5.274882,4.2209067,6.3426642,4.086166
1957-09-01,8.24536,5.486164,3.9290843,8.700099,5.605207,4.315135,5.463437,14.025834,5.0190997,5.13169,5.7011456,5.0066867
1957-10-01,6.4009256,3.9162362,6.309532,6.8665257,5.037777,4.448667,6.0266137,14.399433,3.5753114,3.576665,3.9603555,5.540698
1957-11-01,9.124442,4.1675763,3.07081,6.3672595,3.7029684,4.7039967,5.7268777,14.271023,3.0656655,2.5161884,4.4292264,2.8248293
1957-12-01,8.288319,2.8247027,2.8086183,5.8461165,2.9271796,3.47998,5.5616612,15.70744,1.9090145,2.464224,4.983841,2.692345
1958-01-01,12.423909,3.3922167,2.4931316,5.125199,2.798428,3.0944412,4.7568393,14.935569,2.1377456,2.6634455,4.8574986,2.6432502
1958-02-01,8.297209,2.265403,2.8405237,5.002923,2.751392,2.938788,4.192675,10.850355,1.9113202,2.0339947,3.9411128,2.104966
1958-03-01,5.7787457,2.3110557,2.816277,3.7175603,3.0384793,2.99871,4.1283903,7.9286385,1.9279671,1.8391623,4.1472917,2.3650327
1958-04-01,8.331069,2.8549714,3.2588723,5.562735,4.5297084,4.729525,3.7196136,10.877177,3.1634297,2.5711849,5.3984256,2.7816396
1958-05-01,5.980103,3.0554159,4.2752295,5.861717,5.439832,5.6017666,3.9271119,6.140215,3.6156642,3.4820583,5.637693,5.0968647
1958-06-01,9.116543,4.634338,4.379586,8.52639,4.74884,5.7709346,7.035731,4.7383513,5.1550846,4.288367,7.1722093,3.5833404
1958-07-01,9.187379,4.1831713,5.3849244,6.935774,6.710618,7.254551,3.523293,4.74254,5.646567,5.957285,6.125625,4.760017
1958-08-01,9.640921,4.3147974,5.109892,7.45945,5.853517,5.975618,4.395068,10.323841,5.65729,5.4194117,5.9430995,5.6053476
1958-09-01,8.934235,4.2182665,5.374362,8.41808,6.4903455,6.464295,5.93249,13.098986,3.010261,3.4035192,6.5264993,4.252903
1958-10-01,5.9990163,4.77666,3.8144376,6.8443274,4.3398643,3.7045476,6.1011233,18.46903,3.8439004,3.6656091,5.2824726,3.2239869
1958-11-01,7.8692455,2.7242687,2.3592837,5.6805134,4.000834,4.37042,4.581565,14.000976,1.9615515,1.9393562,4.20645,2.3776586
1958-12-01,6.123851,3.728518,2.9563653,3.959601,3.4421952,2.9518638,5.5572906,16.542213,2.6924632,2.553767,3.217037,2.244233
1959-01-01,6.812772,2.2682197,2.7443447,5.226963,2.5145411,2.6480825,4.7100673,12.045608,2.0466254,2.4473903,5.5955915,3.2338872
1959-02-01,6.5101438,3.235652,2.3913937,4.1148367,2.60272,2.7975233,3.9917164,12.226115,2.3470075,1.9981865,2.7898269,2.671171
1959-03-01,9.27064,3.305652,2.2763505,6.276195,2.7134945,3.6096528,3.7511988,12.515159,1.9334605,2.1533017,4.1554832,2.6534336
1959-04-01,5.757003,2.9314218,3.3545952,6.194964,3.9947417,4.4659038,5.083448,12.514067,2.494735,2.41235,4.700635,2.8184278
1959-05-01,4.860122,3.6231472,4.5949593,5.2900496,6.8876543,6.5604687,4.416734,6.3692026,3.1691928,3.124283,5.364822,4.617542
1959-06-01,8.81639,4.341349,5.390558,6.9424305,6.4576774,7.448961,5.243036,6.978373,3.6565728,3.8268282,7.0874343,3.8903408
1959-07-01,7.2579184,4.4402056,5.0901995,7.5860176,6.2995377,6.741752,4.5908833,7.321001,5.3370724,4.855674,6.6461077,4.828682
1959-08-01,6.8739853,4.373817,5.653795,7.585666,7.119945,7.3683558,5.7708097,7.408678,4.838674,4.4652863,5.4243927,4.6200347
1959-09-01,8.882119,3.6173174,5.3374314,6.718744,6.8977838,6.8668447,5.5335073,10.574628,4.445566,4.5795918,5.7564406,4.68618
1959-10-01,10.193025,4.1124935,3.8242962,7.921508,4.676052,5.3685923,5.947941,14.56094,3.8046594,3.158024,6.109223,3.3959796
1959-11-01,11.188638,3.9891064,3.3442273,7.081351,3.2376153,3.8973403,7.0394573,15.585943,2.4118705,2.0428162,6.235253,1.9652184
1959-12-01,8.341008,3.9262133,2.541057,4.6888857,2.651607,2.8199785,5.3982573,17.656963,2.2275622,2.410933,4.115371,2.7103345
1960-01-01,7.210057,3.237332,2.6842625,4.154795,2.0157995,2.4112985,4.2544684,11.962297,2.5015774,2.372263,2.9312649,1.9797679
1960-02-01,9.39811,3.0377767,2.7842257,6.2663755,2.8746476,2.7710557,4.1623917,13.546308,2.063997,2.3323596,4.189141,1.7519902
1960-03-01,5.8311176,3.2109072,2.834355,4.7734137,3.2564027,3.092415,4.1935625,12.935849,2.2136815,2.2703722,2.6882575,1.9758233
1960-04-01,6.386109,2.832385,3.1440682,5.6685896,4.0885444,4.524349,3.7784429,11.580811,2.1820343,2.431173,4.6352897,3.6266448
1960-05-01,7.4429,3.7721803,6.262055,6.673985,5.636197,6.261406,5.7018533,7.0107903,3.3077073,3.8587534,3.885387,5.08136
1960-06-01,7.0687294,4.558684,6.0478935,7.2827206,5.739486,5.315708,4.912263,6.705421,4.684229,4.705958,5.2922654,7.013626
1960-07-01,6.9951363,5.014992,5.952436,7.7235665,5.5363574,6.1262894,4.0293665,6.8182106,6.2759,6.6203675,6.7767906,4.6634107
1960-08-01,4.5717106,4.330046,6.4582844,7.478929,7.124073,6.585289,5.7016625,9.154419,5.011999,5.620895,6.8512764,5.3675284
1960-09-01,8.915404,4.3228507,5.8017635,7.393709,5.3782144,6.371546,5.5975485,11.527121,3.9601352,4.834593,6.303455,4.6646338
1960-10-01,8.378951,4.6358004,3.3456583,6.274637,4.2098465,4.607684,5.9898014,18.342594,3.8085368,4.416838,4.681657,4.4070907
