year,AM,BC,BP,BSE,BSW,HP,MC,PM,TC,TP,TSE,TSW
1968,138.47214,14.389266,124.16014,68.28814,58.35014,74.43194,66.51503,15.103485,44.818905,113.69366,33.983128,60.833298
1969,89.429214,52.457367,247.48708,60.945705,97.506615,41.088333,149.5529,20.865646,21.115313,127.4958,27.116589,109.62624
1970,76.84836,35.84919,215.10007,80.431274,124.92944,98.223076,155.37596,21.262072,6.554569,100.662415,50.32435,145.85222
1971,103.221664,74.23545,242.86984,112.428505,119.78878,68.25268,163.05112,26.628435,31.870049,201.45512,15.489644,183.00775
1972,66.994354,29.432743,215.49179,78.294014,144.40823,87.03332,79.64576,21.292162,10.922057,109.49087,27.385792,87.96683
1973,50.95212,20.698713,131.17169,56.448315,122.135414,122.07664,154.9313,14.954865,4.1444106,121.02032,74.157776,256.38956
1974,56.749733,11.92488,121.16899,63.450237,104.6618,77.44436,131.01447,27.56018,7.6181974,56.76551,61.417217,81.20763
1975,117.26329,18.332888,101.77806,111.04254,67.84568,60.408203,64.457756,12.675184,23.751078,111.884705,41.37808,130.59747
1976,79.1334,25.47186,203.5682,141.78108,209.20323,142.28128,33.782204,3.1541245,19.617493,101.75199,72.19261,173.8602
1977,72.322586,33.50962,143.74855,89.678604,99.6987,99.42282,74.31913,30.190577,35.102745,120.77595,17.515781,94.969795
1978,96.24402,39.47302,131.61322,65.20364,66.73744,45.607903,96.56578,36.99405,16.845581,72.50246,17.825937,65.97011
1979,64.94892,39.143517,164.89696,64.70098,124.06818,81.93828,180.60397,25.726381,15.0751295,109.38606,33.9999,167.65808
1980,48.29215,50.236454,369.93646,68.911064,243.08568,65.06972,49.302628,11.647481,10.266836,142.14937,32.40086,142.94925
1981,60.86474,70.62119,355.8675,111.79469,243.19908,127.04061,102.84285,35.101818,10.805241,188.64229,88.16052,154.01569
1982,88.08551,98.357544,192.31377,70.2043,89.62529,56.969265,67.11582,34.82043,11.509191,133.47325,27.93935,154.9947
1983,77.25825,40.009693,160.59024,99.040886,126.91146,102.659584,74.43991,12.041875,18.457449,121.92771,37.87548,86.4285
1984,57.529152,39.57876,231.83028,53.84635,131.04327,90.07078,108.05289,13.791767,6.779311,90.42546,32.291466,97.01374
1985,63.218273,34.67333,190.75827,69.27465,104.41039,61.840397,231.13242,60.37449,18.879295,100.982994,73.0434,105.480705
1986,68.8679,37.81576,187.17953,78.04314,128.21463,105.13919,137.0452,39.6152,22.775753,98.994736,40.12668,69.82353
1987,88.211685,41.150665,237.48418,76.15453,175.57826,88.47086,188.79517,40.9361,27.873625,137.0618,22.527287,95.284706
1988,48.634537,27.373142,260.17255,103.80321,163.6551,130.22545,133.70386,24.554136,10.6379795,62.264366,52.29245,80.2913
1989,76.3571,110.01281,171.46906,100.6416,164.28365,127.02854,109.12726,26.547932,39.45369,135.331,77.28016,131.59749
1990,76.72443,85.318375,255.57262,82.1948,160.23056,132.41013,168.30843,42.5643,27.68108,116.749756,39.614166,72.18652
1991,135.17165,57.823746,228.47166,134.38148,190.63766,164.10306,123.30456,16.37018,12.3818445,96.05362,63.09678,163.80014
1992,84.30163,82.134705,175.45795,77.64817,117.107704,71.67558,208.67448,37.279713,17.787792,125.00547,28.69557,143.86096
1993,44.257195,45.935143,151.63866,53.31068,103.31221,73.9059,65.368965,21.849653,15.582719,111.93696,47.44908,88.049774
1994,56.87348,85.93822,217.79662,41.131397,125.81873,95.229,179.96056,20.317953,39.71172,206.79018,42.976315,355.1021
1995,99.06085,79.78226,240.53569,121.779945,146.22198,95.23501,110.76839,29.86636,12.672304,240.92271,92.7532,80.67204
1996,57.96886,48.312107,92.37626,84.15739,117.700615,129.50764,98.20314,19.342052,19.612755,101.37115,84.04948,130.66336
1997,81.52649,30.327057,102.33883,80.472855,90.86527,83.94857,93.98291,23.420315,4.8053412,65.20152,39.729164,115.71292
1998,80.16313,121.812164,363.79834,108.26609,187.90915,157.44722,220.79102,38.624416,21.739172,163.60678,72.545944,180.69704
1999,109.43454,58.23587,187.51512,116.36299,173.82146,131.98361,81.18132,12.179223,35.843052,143.8953,33.235138,158.7445
2000,52.436813,16.79517,114.35172,51.658752,79.05109,80.46156,99.08484,13.08815,7.190551,86.06751,65.908394,150.40913
2001,125.35363,34.21538,262.79352,126.12909,132.75505,133.49915,126.73005,9.722868,19.903639,86.44387,61.68681,115.42593
2002,63.27375,42.99498,241.86809,93.96349,138.2808,80.706894,146.14404,21.603483,8.84484,74.11052,42.40058,67.74306
2003,59.24983,51.48032,213.96072,112.61116,212.79546,213.33755,276.38428,29.743916,14.193238,112.72447,80.367134,116.11229
2004,58.125214,90.19372,156.39957,62.92589,104.8003,57.79544,115.5185,29.929846,67.097626,178.04521,28.214888,143.27077
2005,76.78137,37.780903,116.3577,151.00015,103.93389,138.19435,99.52743,19.65966,35.82528,104.026024,96.592026,82.26581
2006,62.453415,65.5367,275.07303,119.428764,204.20578,150.93437,258.4051,42.748074,18.854053,136.12787,74.121124,152.8279
2007,78.810356,47.0563,162.13867,126.06235,145.50137,101.477295,170.33842,7.8636003,28.712404,133.01152,34.393986,185.49142
2008,55.99238,32.40043,235.79578,44.558933,152.172,78.47683,128.13203,12.141776,16.807264,120.23873,44.93386,167.9064
2009,71.8686,102.71132,184.68716,62.151543,77.10534,59.171165,228.32092,37.288395,29.578003,76.69685,46.966606,77.019905
2010,87.059395,110.108955,208.10905,121.08151,176.5136,117.10203,149.35262,33.979195,36.563095,121.829216,43.16297,164.72113
2011,37.526894,31.595324,302.18848,95.337036,242.7427,175.92627,126.71068,10.420363,13.643453,123.526215,52.76832,178.3334
2012,90.76686,50.62536,277.70227,139.27917,153.95142,102.23896,164.89629,24.32449,22.755188,221.06175,49.80221,164.73018
2013,74.87671,43.62586,230.01819,96.71534,219.78387,160.76085,130.73341,22.49359,25.695791,161.22775,102.83877,263.38428
2014,70.16647,49.432648,176.76486,90.056366,127.52932,124.76875,183.75087,24.59893,9.560007,164.85983,86.98634,297.21344
2015,75.60664,55.698273,376.9546,72.58511,153.86774,79.04728,191.04431,51.62464,13.1028185,176.80504,27.423828,184.9243
2016,68.08788,82.14662,212.95366,100.59489,146.96432,95.85388,139.1726,30.481237,15.232023,117.22775,46.448364,156.34631
2017,78.46434,91.86422,283.89523,67.734314,206.35771,147.87683,505.8256,68.25894,69.13246,211.39331,54.81987,180.71992
2018,83.52906,123.5548,287.4269,117.96771,195.33672,116.76057,297.09927,73.88643,18.144953,145.88896,31.334152,103.526085
2019,46.048862,124.715096,199.76662,81.72771,142.3884,68.98373,132.40456,24.989674,41.1107,108.34781,24.806026,81.154366
2020,109.46743,31.538366,139.5286,81.3737,106.55267,80.83725,186.08463,20.18097,15.862862,73.39923,60.37179,91.31593
2021,53.649113,85.65311,360.79013,98.56455,194.83887,97.53585,349.0585,57.72381,59.574463,133.26704,70.349655,103.729256
2022,68.28037,63.065414,349.60852,68.61885,138.8596,82.73499,293.34885,47.593555,27.313051,262.78244,55.82529,233.61156
2023,48.646824,105.06829,412.1958,120.84516,226.66978,219.30626,286.02188,61.40174,44.0055,351.07983,134.22081,282.95328
